"Container","BlobName","Size_Bytes","ContentType","LastModified"
"crystal-viewer","Actinolite.dae","6282083","model/vnd.collada+xml","Mon, 04 May 2020 19:04:51 GMT"
"crystal-viewer","Andalusite.dae","499147","model/vnd.collada+xml","Mon, 04 May 2020 19:04:37 GMT"
"crystal-viewer","Anhydrite.dae","1580204","model/vnd.collada+xml","Mon, 04 May 2020 19:04:51 GMT"
"crystal-viewer","Anorthite.dae","32889828","model/vnd.collada+xml","Mon, 04 May 2020 19:04:54 GMT"
"crystal-viewer","Apatite.dae","3315605","model/vnd.collada+xml","Mon, 04 May 2020 19:04:49 GMT"
"crystal-viewer","Biotite.dae","1013023","model/vnd.collada+xml","Mon, 04 May 2020 19:04:51 GMT"
"crystal-viewer","Bridgmanite.dae","50799","model/vnd.collada+xml","Mon, 04 May 2020 19:04:51 GMT"
"crystal-viewer","Brucite.dae","2122272","model/vnd.collada+xml","Mon, 04 May 2020 19:04:52 GMT"
"crystal-viewer","Carbon-Diamond.dae","1068127","model/vnd.collada+xml","Mon, 04 May 2020 19:04:52 GMT"
"crystal-viewer","Carbon-Graphite.dae","3703357","model/vnd.collada+xml","Mon, 04 May 2020 19:04:53 GMT"
"crystal-viewer","Chalcopyrite.dae","1800813","model/vnd.collada+xml","Mon, 04 May 2020 19:04:53 GMT"
"crystal-viewer","Clinoenstatite.dae","890039","model/vnd.collada+xml","Mon, 04 May 2020 19:04:53 GMT"
"crystal-viewer","Coesite.dae","189581","model/vnd.collada+xml","Mon, 04 May 2020 19:04:53 GMT"
"crystal-viewer","Diopside.dae","798055","model/vnd.collada+xml","Mon, 04 May 2020 19:04:54 GMT"
"crystal-viewer","Galena.dae","2154827","model/vnd.collada+xml","Mon, 04 May 2020 19:04:54 GMT"
"crystal-viewer","Gibbsite.dae","5639190","model/vnd.collada+xml","Mon, 04 May 2020 19:04:55 GMT"
"crystal-viewer","Glaucophane.dae","1714780","model/vnd.collada+xml","Mon, 04 May 2020 19:04:55 GMT"
"crystal-viewer","Gypsum.dae","718055","model/vnd.collada+xml","Mon, 04 May 2020 19:04:55 GMT"
"crystal-viewer","Hedenbergite.dae","798055","model/vnd.collada+xml","Mon, 04 May 2020 19:04:55 GMT"
"crystal-viewer","Hematite.dae","79139","model/vnd.collada+xml","Mon, 04 May 2020 19:04:55 GMT"
"crystal-viewer","Ilmenite-FeTiO3.dae","297749","model/vnd.collada+xml","Mon, 04 May 2020 19:04:56 GMT"
"crystal-viewer","Kaolinite.dae","842004","model/vnd.collada+xml","Mon, 04 May 2020 19:04:56 GMT"
"crystal-viewer","Kyanite.dae","71996","model/vnd.collada+xml","Mon, 04 May 2020 19:04:56 GMT"
"crystal-viewer","Lizardite-1T.dae","2692968","model/vnd.collada+xml","Mon, 04 May 2020 19:04:56 GMT"
"crystal-viewer","Magnetite-Fe3O4.dae","94677","model/vnd.collada+xml","Mon, 04 May 2020 19:04:57 GMT"
"crystal-viewer","Montmorillonite.dae","488606","model/vnd.collada+xml","Mon, 04 May 2020 19:04:57 GMT"
"crystal-viewer","Muscovite-2M1.dae","1511698","model/vnd.collada+xml","Mon, 04 May 2020 19:04:57 GMT"
"crystal-viewer","Olivine-Forsterite.dae","417261","model/vnd.collada+xml","Mon, 04 May 2020 19:04:57 GMT"
"crystal-viewer","Orthoclase.dae","19404112","model/vnd.collada+xml","Mon, 04 May 2020 19:04:59 GMT"
"crystal-viewer","Orthopyroxene.dae","1440381","model/vnd.collada+xml","Mon, 04 May 2020 19:04:58 GMT"
"crystal-viewer","Pargasite.dae","2100784","model/vnd.collada+xml","Mon, 04 May 2020 19:04:58 GMT"
"crystal-viewer","Phlogopite.dae","939007","model/vnd.collada+xml","Mon, 04 May 2020 19:04:59 GMT"
"crystal-viewer","Pigeonite.dae","1012084","model/vnd.collada+xml","Mon, 04 May 2020 19:04:59 GMT"
"crystal-viewer","Pyrophyllite-2M.dae","2038955","model/vnd.collada+xml","Mon, 04 May 2020 19:04:59 GMT"
"crystal-viewer","Quartz(alpha).dae","129142","model/vnd.collada+xml","Mon, 04 May 2020 19:04:59 GMT"
"crystal-viewer","Quartz(beta).dae","166948","model/vnd.collada+xml","Mon, 04 May 2020 19:04:59 GMT"
"crystal-viewer","Ringwoodite.dae","821336","model/vnd.collada+xml","Mon, 04 May 2020 19:04:59 GMT"
"crystal-viewer","Sillimanite.dae","89433","model/vnd.collada+xml","Mon, 04 May 2020 19:05:00 GMT"
"crystal-viewer","Sphalerite.dae","637350","model/vnd.collada+xml","Mon, 04 May 2020 19:05:00 GMT"
"crystal-viewer","Stishovite.dae","40438","model/vnd.collada+xml","Mon, 04 May 2020 19:05:00 GMT"
"crystal-viewer","Talc.dae","383524","model/vnd.collada+xml","Mon, 04 May 2020 19:05:00 GMT"
"crystal-viewer","Tourmaline(Elbaite).dae","1066525","model/vnd.collada+xml","Mon, 04 May 2020 19:05:01 GMT"
"crystal-viewer","Tremolite.dae","197184","model/vnd.collada+xml","Mon, 04 May 2020 19:05:02 GMT"
"crystal-viewer","Tschermak.dae","1907619","model/vnd.collada+xml","Mon, 04 May 2020 19:05:03 GMT"
"crystal-viewer","Wadsleyite-H(ortho).dae","292830","model/vnd.collada+xml","Mon, 04 May 2020 19:05:03 GMT"
"crystal-viewer","cristobalite.dae","525904","model/vnd.collada+xml","Mon, 04 May 2020 19:04:54 GMT"
"geobase-crystallattice","Actinolite.dae","6282083","model/vnd.collada+xml","Mon, 04 May 2020 19:08:56 GMT"
"geobase-crystallattice","Andalusite.dae","499147","model/vnd.collada+xml","Mon, 04 May 2020 19:08:58 GMT"
"geobase-crystallattice","Anhydrite.dae","1580204","model/vnd.collada+xml","Mon, 04 May 2020 19:08:57 GMT"
"geobase-crystallattice","Anorthite.dae","32889828","model/vnd.collada+xml","Mon, 04 May 2020 19:09:09 GMT"
"geobase-crystallattice","Apatite.dae","3315605","model/vnd.collada+xml","Mon, 04 May 2020 19:08:58 GMT"
"geobase-crystallattice","Biotite.dae","1013023","model/vnd.collada+xml","Mon, 04 May 2020 19:09:00 GMT"
"geobase-crystallattice","Bridgmanite.dae","50799","model/vnd.collada+xml","Mon, 04 May 2020 19:09:01 GMT"
"geobase-crystallattice","Brucite.dae","2122272","model/vnd.collada+xml","Mon, 04 May 2020 19:09:05 GMT"
"geobase-crystallattice","Carbon-Diamond.dae","1068127","model/vnd.collada+xml","Mon, 04 May 2020 19:09:07 GMT"
"geobase-crystallattice","Carbon-Graphite.dae","3703357","model/vnd.collada+xml","Mon, 04 May 2020 19:09:06 GMT"
"geobase-crystallattice","Chalcopyrite.dae","1800813","model/vnd.collada+xml","Mon, 04 May 2020 19:09:07 GMT"
"geobase-crystallattice","Clinoenstatite.dae","890039","model/vnd.collada+xml","Mon, 04 May 2020 19:09:09 GMT"
"geobase-crystallattice","Coesite.dae","189581","model/vnd.collada+xml","Mon, 04 May 2020 19:09:10 GMT"
"geobase-crystallattice","Diopside.dae","798055","model/vnd.collada+xml","Mon, 04 May 2020 19:09:11 GMT"
"geobase-crystallattice","Enstatite.dae","1450162","application/octet-stream","Mon, 04 May 2020 19:09:12 GMT"
"geobase-crystallattice","Galena.dae","2154827","model/vnd.collada+xml","Mon, 04 May 2020 19:09:13 GMT"
"geobase-crystallattice","Gibbsite.dae","5639190","model/vnd.collada+xml","Mon, 04 May 2020 19:09:13 GMT"
"geobase-crystallattice","Glaucophane.dae","1714780","model/vnd.collada+xml","Mon, 04 May 2020 19:09:16 GMT"
"geobase-crystallattice","Gypsum.dae","718055","model/vnd.collada+xml","Mon, 04 May 2020 19:09:16 GMT"
"geobase-crystallattice","Hedenbergite.dae","798055","model/vnd.collada+xml","Mon, 04 May 2020 19:09:17 GMT"
"geobase-crystallattice","Hematite.dae","79139","model/vnd.collada+xml","Mon, 04 May 2020 19:09:18 GMT"
"geobase-crystallattice","Ilmenite.dae","297749","model/vnd.collada+xml","Mon, 04 May 2020 19:09:18 GMT"
"geobase-crystallattice","Kaolinite.dae","842004","model/vnd.collada+xml","Mon, 04 May 2020 19:09:21 GMT"
"geobase-crystallattice","Kyanite.dae","71996","model/vnd.collada+xml","Mon, 04 May 2020 19:09:21 GMT"
"geobase-crystallattice","Lizardite-1T.dae","2692968","model/vnd.collada+xml","Mon, 04 May 2020 19:09:22 GMT"
"geobase-crystallattice","Magnetite.dae","94677","model/vnd.collada+xml","Mon, 04 May 2020 19:09:23 GMT"
"geobase-crystallattice","Microcline.dae","1482810","application/octet-stream","Mon, 04 May 2020 19:09:23 GMT"
"geobase-crystallattice","Montmorillonite.dae","488606","model/vnd.collada+xml","Mon, 04 May 2020 19:09:26 GMT"
"geobase-crystallattice","Muscovite-2M1.dae","1511698","model/vnd.collada+xml","Mon, 04 May 2020 19:09:26 GMT"
"geobase-crystallattice","Olivine-Forsterite.dae","417261","model/vnd.collada+xml","Mon, 04 May 2020 19:09:27 GMT"
"geobase-crystallattice","Orthoclase.dae","19404112","model/vnd.collada+xml","Mon, 04 May 2020 19:09:29 GMT"
"geobase-crystallattice","Orthopyroxene.dae","1440381","model/vnd.collada+xml","Mon, 04 May 2020 19:09:28 GMT"
"geobase-crystallattice","Pargasite.dae","2100784","model/vnd.collada+xml","Mon, 04 May 2020 19:09:31 GMT"
"geobase-crystallattice","Phlogopite.dae","939007","model/vnd.collada+xml","Mon, 04 May 2020 19:09:31 GMT"
"geobase-crystallattice","Pigeonite.dae","1012084","model/vnd.collada+xml","Mon, 04 May 2020 19:09:32 GMT"
"geobase-crystallattice","Pyrophyllite-2M.dae","2038955","model/vnd.collada+xml","Mon, 04 May 2020 19:09:33 GMT"
"geobase-crystallattice","Quartz(alpha).dae","129142","model/vnd.collada+xml","Mon, 04 May 2020 19:09:33 GMT"
"geobase-crystallattice","Quartz(beta).dae","166948","model/vnd.collada+xml","Mon, 04 May 2020 19:09:36 GMT"
"geobase-crystallattice","Ringwoodite.dae","821336","model/vnd.collada+xml","Mon, 04 May 2020 19:09:36 GMT"
"geobase-crystallattice","Sillimanite.dae","89433","model/vnd.collada+xml","Mon, 04 May 2020 19:09:37 GMT"
"geobase-crystallattice","Sphalerite.dae","637350","model/vnd.collada+xml","Mon, 04 May 2020 19:09:38 GMT"
"geobase-crystallattice","Stishovite.dae","40438","model/vnd.collada+xml","Mon, 04 May 2020 19:09:38 GMT"
"geobase-crystallattice","Talc.dae","383524","model/vnd.collada+xml","Mon, 04 May 2020 19:09:41 GMT"
"geobase-crystallattice","Tourmaline(Elbaite).dae","1066525","model/vnd.collada+xml","Mon, 04 May 2020 19:09:41 GMT"
"geobase-crystallattice","Tremolite.dae","197184","model/vnd.collada+xml","Mon, 04 May 2020 19:09:42 GMT"
"geobase-crystallattice","Tschermak.dae","1907619","model/vnd.collada+xml","Mon, 04 May 2020 19:09:43 GMT"
"geobase-crystallattice","Wadsleyite-H(ortho).dae","292830","model/vnd.collada+xml","Mon, 04 May 2020 19:09:43 GMT"
"geobase-crystallattice","cristobalite.dae","525904","model/vnd.collada+xml","Mon, 04 May 2020 19:09:11 GMT"
"geobase-dem","Granite pit/model.obj","95285719","application/octet-stream","Mon, 07 Sep 2020 14:41:51 GMT"
"geobase-dem","Mt Katahdin/katahdin.zip","20736248","application/octet-stream","Tue, 08 Sep 2020 14:23:24 GMT"
"geobase-dem","Rybalskiy quarry/model.obj","95285719","application/octet-stream","Mon, 07 Sep 2020 15:17:55 GMT"
"android","geoxplorer-archeology/cromeleque-bundle","14074929","application/octet-stream","Mon, 01 Jun 2020 18:50:16 GMT"
"android","geoxplorer-archeology/m11m12kite-bundle","23076334","application/octet-stream","Sat, 10 Oct 2020 18:04:39 GMT"
"android","geoxplorer-archeology/petroglyph1-bundle","8950857","application/octet-stream","Sat, 10 Oct 2020 18:04:42 GMT"
"android","geoxplorer-archeology/skarabrae-bundle","20514586","application/octet-stream","Mon, 01 Jun 2020 18:50:17 GMT"
"android","geoxplorer-archeology/tela-bundle","11205777","application/octet-stream","Sat, 10 Oct 2020 18:04:45 GMT"
"android","geoxplorer-archeology/w80final-bundle","16233228","application/octet-stream","Sat, 10 Oct 2020 18:04:50 GMT"
"android","geoxplorer-architecture/saocucufate-bundle","20912101","application/octet-stream","Mon, 01 Jun 2020 18:52:00 GMT"
"android","geoxplorer-arthistory/balustervase-bundle","9086086","application/octet-stream","Wed, 10 Jun 2020 20:01:07 GMT"
"android","geoxplorer-arthistory/bottleshapedvase-bundle","4638507","application/octet-stream","Wed, 10 Jun 2020 20:01:07 GMT"
"android","geoxplorer-arthistory/cloisonnevase-bundle","6913599","application/octet-stream","Wed, 10 Jun 2020 20:01:07 GMT"
"android","geoxplorer-arthistory/cosmicbuddha-bundle","7887243","application/octet-stream","Wed, 10 Jun 2020 20:01:08 GMT"
"android","geoxplorer-arthistory/elephantzun-bundle","12046409","application/octet-stream","Wed, 10 Jun 2020 20:01:08 GMT"
"android","geoxplorer-arthistory/f1980191-bundle","5696027","application/octet-stream","Wed, 10 Jun 2020 20:01:09 GMT"
"android","geoxplorer-arthistory/f1980193-bundle","4807267","application/octet-stream","Wed, 10 Jun 2020 20:01:09 GMT"
"android","geoxplorer-arthistory/f1980194-bundle","4557281","application/octet-stream","Wed, 10 Jun 2020 20:01:10 GMT"
"android","geoxplorer-arthistory/fangyi-bundle","17397958","application/octet-stream","Wed, 10 Jun 2020 20:01:11 GMT"
"android","geoxplorer-arthistory/incenseburner-bundle","3743732","application/octet-stream","Wed, 10 Jun 2020 20:01:11 GMT"
"android","geoxplorer-arthistory/incensemountain-bundle","6792310","application/octet-stream","Wed, 10 Jun 2020 20:01:12 GMT"
"android","geoxplorer-arthistory/liddedewer-bundle","14868118","application/octet-stream","Wed, 10 Jun 2020 20:01:12 GMT"
"android","geoxplorer-arthistory/vasef1991-bundle","4567847","application/octet-stream","Wed, 10 Jun 2020 20:01:13 GMT"
"android","geoxplorer-arthistory/vasef1992-bundle","5151225","application/octet-stream","Wed, 10 Jun 2020 20:01:13 GMT"
"android","geoxplorer-bio/1aus-bundle","2859093","application/octet-stream","Mon, 04 May 2020 20:17:41 GMT"
"android","geoxplorer-bio/1g5p-bundle","819087","application/octet-stream","Mon, 04 May 2020 20:17:42 GMT"
"android","geoxplorer-bio/1g8f-bundle","583693","application/octet-stream","Mon, 04 May 2020 20:17:43 GMT"
"android","geoxplorer-bio/1h3b-bundle","2704017","application/octet-stream","Mon, 04 May 2020 20:17:52 GMT"
"android","geoxplorer-bio/1hbn-bundle","3865139","application/octet-stream","Mon, 04 May 2020 20:18:02 GMT"
"android","geoxplorer-bio/1mhy-bundle","1231891","application/octet-stream","Mon, 04 May 2020 20:18:05 GMT"
"android","geoxplorer-bio/1mms-bundle","554341","application/octet-stream","Mon, 04 May 2020 20:18:08 GMT"
"android","geoxplorer-bio/1mo7-bundle","329880","application/octet-stream","Mon, 04 May 2020 20:18:09 GMT"
"android","geoxplorer-bio/1q8j-bundle","1409544","application/octet-stream","Fri, 31 Jul 2020 18:41:53 GMT"
"android","geoxplorer-bio/1w6k-bundle","1110825","application/octet-stream","Mon, 04 May 2020 20:18:11 GMT"
"android","geoxplorer-bio/2adq-bundle","357921","application/octet-stream","Mon, 04 May 2020 20:18:13 GMT"
"android","geoxplorer-bio/2v4j-bundle","2420222","application/octet-stream","Mon, 04 May 2020 20:18:20 GMT"
"android","geoxplorer-bio/3bob-bundle","346697","application/octet-stream","Mon, 04 May 2020 20:18:21 GMT"
"android","geoxplorer-bio/3iva-bundle","677837","application/octet-stream","Mon, 27 Jul 2020 15:50:15 GMT"
"android","geoxplorer-bio/3tx3-bundle","796378","application/octet-stream","Mon, 04 May 2020 20:18:24 GMT"
"android","geoxplorer-bio/5n6y-bundle","2976992","application/octet-stream","Mon, 04 May 2020 20:18:34 GMT"
"android","geoxplorer-bio/6vsb-bundle","1336434","application/octet-stream","Mon, 04 May 2020 20:18:38 GMT"
"android","geoxplorer-crystallattice/actinolite-bundle","697940","application/octet-stream","Tue, 01 Oct 2019 18:30:53 GMT"
"android","geoxplorer-crystallattice/andalusite-bundle","156450","application/octet-stream","Tue, 01 Oct 2019 18:30:53 GMT"
"android","geoxplorer-crystallattice/anhydrite-bundle","247259","application/octet-stream","Tue, 01 Oct 2019 18:30:54 GMT"
"android","geoxplorer-crystallattice/annie7delta-bundle","541830","application/octet-stream","Tue, 25 Aug 2020 15:01:57 GMT"
"android","geoxplorer-crystallattice/apatite-bundle","332058","application/octet-stream","Tue, 01 Oct 2019 18:30:54 GMT"
"android","geoxplorer-crystallattice/bcc-bundle","3441405","application/octet-stream","Wed, 17 Mar 2021 23:19:47 GMT"
"android","geoxplorer-crystallattice/biotite-bundle","200134","application/octet-stream","Tue, 01 Oct 2019 18:30:55 GMT"
"android","geoxplorer-crystallattice/bridgmanite-bundle","117059","application/octet-stream","Tue, 01 Oct 2019 18:30:55 GMT"
"android","geoxplorer-crystallattice/brucite-bundle","272629","application/octet-stream","Tue, 01 Oct 2019 18:30:55 GMT"
"android","geoxplorer-crystallattice/c60fullerene-bundle","1850507","application/octet-stream","Mon, 22 Mar 2021 20:13:04 GMT"
"android","geoxplorer-crystallattice/carbonnanotubefinal-bundle","10080140","application/octet-stream","Mon, 22 Mar 2021 22:50:28 GMT"
"android","geoxplorer-crystallattice/chalcopyrite-bundle","251924","application/octet-stream","Tue, 01 Oct 2019 18:30:56 GMT"
"android","geoxplorer-crystallattice/clinoenstatite-bundle","162694","application/octet-stream","Tue, 01 Oct 2019 18:30:56 GMT"
"android","geoxplorer-crystallattice/coesite-bundle","126730","application/octet-stream","Tue, 01 Oct 2019 18:30:56 GMT"
"android","geoxplorer-crystallattice/cristobalite-bundle","179266","application/octet-stream","Tue, 01 Oct 2019 18:30:56 GMT"
"android","geoxplorer-crystallattice/defects-bundle","4966918","application/octet-stream","Mon, 22 Mar 2021 19:50:32 GMT"
"android","geoxplorer-crystallattice/diamond-bundle","225557","application/octet-stream","Tue, 01 Oct 2019 18:30:57 GMT"
"android","geoxplorer-crystallattice/diamond2-bundle","11842017","application/octet-stream","Wed, 17 Mar 2021 22:15:43 GMT"
"android","geoxplorer-crystallattice/diopside-bundle","165381","application/octet-stream","Tue, 01 Oct 2019 18:30:57 GMT"
"android","geoxplorer-crystallattice/enstatite-bundle","299407","application/octet-stream","Tue, 01 Oct 2019 18:30:57 GMT"
"android","geoxplorer-crystallattice/fcccrystal-bundle","7190973","application/octet-stream","Mon, 22 Mar 2021 21:44:12 GMT"
"android","geoxplorer-crystallattice/galena-bundle","328416","application/octet-stream","Tue, 01 Oct 2019 18:30:58 GMT"
"android","geoxplorer-crystallattice/gibbsite-bundle","568321","application/octet-stream","Tue, 01 Oct 2019 18:30:59 GMT"
"android","geoxplorer-crystallattice/glaucophane-bundle","267533","application/octet-stream","Tue, 01 Oct 2019 18:30:59 GMT"
"android","geoxplorer-crystallattice/graphenemoire-bundle","40425395","application/octet-stream","Tue, 23 Mar 2021 20:59:19 GMT"
"android","geoxplorer-crystallattice/graphite-bundle","365553","application/octet-stream","Tue, 01 Oct 2019 18:31:00 GMT"
"android","geoxplorer-crystallattice/gypsum-bundle","204548","application/octet-stream","Tue, 01 Oct 2019 18:31:00 GMT"
"android","geoxplorer-crystallattice/hedenbergite-bundle","166592","application/octet-stream","Tue, 01 Oct 2019 18:31:00 GMT"
"android","geoxplorer-crystallattice/hematite-bundle","118763","application/octet-stream","Tue, 01 Oct 2019 18:31:01 GMT"
"android","geoxplorer-crystallattice/hpc-bundle","2283790","application/octet-stream","Wed, 17 Mar 2021 22:47:01 GMT"
"android","geoxplorer-crystallattice/ilmenite-bundle","138514","application/octet-stream","Tue, 01 Oct 2019 18:31:01 GMT"
"android","geoxplorer-crystallattice/iso1-bundle","121178","application/octet-stream","Tue, 01 Oct 2019 18:31:01 GMT"
"android","geoxplorer-crystallattice/iso10-bundle","121509","application/octet-stream","Tue, 01 Oct 2019 18:31:01 GMT"
"android","geoxplorer-crystallattice/iso11-bundle","122061","application/octet-stream","Tue, 01 Oct 2019 18:31:01 GMT"
"android","geoxplorer-crystallattice/iso12-bundle","124194","application/octet-stream","Tue, 01 Oct 2019 18:31:02 GMT"
"android","geoxplorer-crystallattice/iso2-bundle","121310","application/octet-stream","Tue, 01 Oct 2019 18:31:02 GMT"
"android","geoxplorer-crystallattice/iso3-bundle","121193","application/octet-stream","Tue, 01 Oct 2019 18:31:02 GMT"
"android","geoxplorer-crystallattice/iso4-bundle","121762","application/octet-stream","Tue, 01 Oct 2019 18:31:02 GMT"
"android","geoxplorer-crystallattice/iso5-bundle","121410","application/octet-stream","Tue, 01 Oct 2019 18:31:02 GMT"
"android","geoxplorer-crystallattice/iso6-bundle","122047","application/octet-stream","Tue, 01 Oct 2019 18:31:03 GMT"
"android","geoxplorer-crystallattice/iso7-bundle","121498","application/octet-stream","Tue, 01 Oct 2019 18:31:03 GMT"
"android","geoxplorer-crystallattice/iso8-bundle","121715","application/octet-stream","Tue, 01 Oct 2019 18:31:03 GMT"
"android","geoxplorer-crystallattice/iso9-bundle","121377","application/octet-stream","Tue, 01 Oct 2019 18:31:04 GMT"
"android","geoxplorer-crystallattice/kaolinite-bundle","231836","application/octet-stream","Tue, 01 Oct 2019 18:31:04 GMT"
"android","geoxplorer-crystallattice/kyanite-bundle","118604","application/octet-stream","Tue, 01 Oct 2019 18:31:04 GMT"
"android","geoxplorer-crystallattice/lizardite-bundle","366600","application/octet-stream","Tue, 01 Oct 2019 18:31:05 GMT"
"android","geoxplorer-crystallattice/magnetite-bundle","120619","application/octet-stream","Tue, 01 Oct 2019 18:31:05 GMT"
"android","geoxplorer-crystallattice/microcline-bundle","298320","application/octet-stream","Tue, 01 Oct 2019 18:31:05 GMT"
"android","geoxplorer-crystallattice/montmorillonite-bundle","155386","application/octet-stream","Tue, 01 Oct 2019 18:31:06 GMT"
"android","geoxplorer-crystallattice/muscovite-bundle","240817","application/octet-stream","Tue, 01 Oct 2019 18:31:06 GMT"
"android","geoxplorer-crystallattice/olivine-bundle","143308","application/octet-stream","Thu, 09 Apr 2020 20:42:15 GMT"
"android","geoxplorer-crystallattice/orthopyroxene-bundle","200721","application/octet-stream","Tue, 01 Oct 2019 18:31:07 GMT"
"android","geoxplorer-crystallattice/pargasite-bundle","303555","application/octet-stream","Tue, 01 Oct 2019 18:31:07 GMT"
"android","geoxplorer-crystallattice/phlogopite-bundle","189848","application/octet-stream","Tue, 01 Oct 2019 18:31:08 GMT"
"android","geoxplorer-crystallattice/pigeonite-bundle","184304","application/octet-stream","Tue, 01 Oct 2019 18:31:08 GMT"
"android","geoxplorer-crystallattice/polonium-bundle","2356657","application/octet-stream","Tue, 23 Mar 2021 19:59:06 GMT"
"android","geoxplorer-crystallattice/poloniumfinal-bundle","4198639","application/octet-stream","Mon, 22 Mar 2021 21:14:29 GMT"
"android","geoxplorer-crystallattice/pyrophyllite-bundle","375469","application/octet-stream","Tue, 01 Oct 2019 18:31:08 GMT"
"android","geoxplorer-crystallattice/quartzalpha-bundle","121568","application/octet-stream","Tue, 01 Oct 2019 18:31:09 GMT"
"android","geoxplorer-crystallattice/quartzbeta-bundle","123917","application/octet-stream","Tue, 01 Oct 2019 18:31:09 GMT"
"android","geoxplorer-crystallattice/ringwoodite-bundle","228011","application/octet-stream","Tue, 01 Oct 2019 18:31:09 GMT"
"android","geoxplorer-crystallattice/sillimanite-bundle","119705","application/octet-stream","Tue, 01 Oct 2019 18:31:09 GMT"
"android","geoxplorer-crystallattice/sphalerite-bundle","162972","application/octet-stream","Tue, 01 Oct 2019 18:31:10 GMT"
"android","geoxplorer-crystallattice/stishovite-bundle","114584","application/octet-stream","Tue, 01 Oct 2019 18:31:10 GMT"
"android","geoxplorer-crystallattice/talc-bundle","145599","application/octet-stream","Tue, 01 Oct 2019 18:31:10 GMT"
"android","geoxplorer-crystallattice/tourmaline-bundle","199963","application/octet-stream","Tue, 01 Oct 2019 18:31:10 GMT"
"android","geoxplorer-crystallattice/tremolite-bundle","129406","application/octet-stream","Tue, 01 Oct 2019 18:31:11 GMT"
"android","geoxplorer-crystallattice/tschermak-bundle","293231","application/octet-stream","Tue, 01 Oct 2019 18:31:11 GMT"
"android","geoxplorer-crystallattice/wadsleyite-bundle","137367","application/octet-stream","Tue, 01 Oct 2019 18:31:11 GMT"
"android","geoxplorer-dem/apollo11-bundle","17442373","application/octet-stream","Wed, 26 Feb 2020 23:27:47 GMT"
"android","geoxplorer-dem/apollo12-bundle","25402601","application/octet-stream","Wed, 26 Feb 2020 23:27:48 GMT"
"android","geoxplorer-dem/apollo14-bundle","17491651","application/octet-stream","Wed, 26 Feb 2020 23:27:49 GMT"
"android","geoxplorer-dem/apollo15-bundle","12606937","application/octet-stream","Wed, 26 Feb 2020 23:27:49 GMT"
"android","geoxplorer-dem/apollo16-bundle","15108768","application/octet-stream","Wed, 26 Feb 2020 23:27:50 GMT"
"android","geoxplorer-dem/apollo17-bundle","3320817","application/octet-stream","Wed, 26 Feb 2020 23:27:50 GMT"
"android","geoxplorer-dem/bigisland-bundle","24533536","application/octet-stream","Wed, 26 Feb 2020 23:27:51 GMT"
"android","geoxplorer-dem/comptonbelk-bundle","13284623","application/octet-stream","Wed, 26 Feb 2020 23:27:52 GMT"
"android","geoxplorer-dem/dteec_001336_1560_001534_1560_u01-bundle","17777479","application/octet-stream","Wed, 26 Feb 2020 23:27:53 GMT"
"android","geoxplorer-dem/dteec_001414_1780_001612_1780_u01-bundle","6296508","application/octet-stream","Wed, 26 Feb 2020 23:27:53 GMT"
"android","geoxplorer-dem/dteec_001432_2015_001630_2015_u01-bundle","21448620","application/octet-stream","Wed, 26 Feb 2020 23:27:54 GMT"
"android","geoxplorer-dem/dteec_001462_2015_001792_2015_a01-bundle","19148793","application/octet-stream","Wed, 26 Feb 2020 23:27:55 GMT"
"android","geoxplorer-dem/dteec_001481_1875_002167_1880_u01-bundle","14372186","application/octet-stream","Wed, 26 Feb 2020 23:27:56 GMT"
"android","geoxplorer-dem/dteec_001488_1750_001752_1750_u02-bundle","18760612","application/octet-stream","Wed, 26 Feb 2020 23:27:57 GMT"
"android","geoxplorer-dem/dteec_001513_1655_001777_1650_u01-bundle","23217679","application/octet-stream","Wed, 26 Feb 2020 23:27:58 GMT"
"android","geoxplorer-dem/dteec_001521_2025_001719_2025_u01-bundle","16437559","application/octet-stream","Wed, 26 Feb 2020 23:27:59 GMT"
"android","geoxplorer-dem/dteec_001546_2015_001955_2015_u01-bundle","14728443","application/octet-stream","Wed, 26 Feb 2020 23:27:59 GMT"
"android","geoxplorer-dem/dteec_001606_1900_002226_1900_a01-bundle","20034728","application/octet-stream","Wed, 26 Feb 2020 23:28:00 GMT"
"android","geoxplorer-dem/dteec_001714_1415_001846_1415_u01-bundle","19714043","application/octet-stream","Wed, 26 Feb 2020 23:28:01 GMT"
"android","geoxplorer-dem/dteec_001871_1965_024419_1965_a01-bundle","18590472","application/octet-stream","Wed, 26 Feb 2020 23:28:02 GMT"
"android","geoxplorer-dem/dteec_001918_1735_001984_1735_u01-bundle","24096607","application/octet-stream","Wed, 26 Feb 2020 23:28:03 GMT"
"android","geoxplorer-dem/dteec_001938_2265_002439_2265_u01-bundle","15967858","application/octet-stream","Wed, 26 Feb 2020 23:28:04 GMT"
"android","geoxplorer-dem/dteec_002047_1890_001902_1890_u01-bundle","16572761","application/octet-stream","Wed, 26 Feb 2020 23:28:05 GMT"
"android","geoxplorer-dem/dteec_002063_1735_001641_1735_u01-bundle","13436743","application/octet-stream","Wed, 26 Feb 2020 23:28:06 GMT"
"android","geoxplorer-dem/dteec_002074_2025_002140_2025_u01-bundle","15024234","application/octet-stream","Wed, 26 Feb 2020 23:28:07 GMT"
